,cumOOI_index,kepid,prob0,prob1
376,2010,3122913,4.188265913935618e-05,0.9999581173408607
377,2021,9654468,4.188265913935618e-05,0.9999581173408607
379,2032,6867588,4.188265913935618e-05,0.9999581173408607
1276,5481,5195172,4.188265913935618e-05,0.9999581173408607
1270,5419,4638237,4.188265913935618e-05,0.9999581173408607
412,2165,7879433,4.188265913935618e-05,0.9999581173408607
1243,5184,2581316,4.188265913935618e-05,0.9999581173408607
446,2276,7584650,4.188265913935618e-05,0.9999581173408607
447,2278,6364215,4.188265913935618e-05,0.9999581173408607
448,2283,6846911,4.188265913935618e-05,0.9999581173408607
449,2285,5963582,4.188265913935618e-05,0.9999581173408607
450,2289,6467363,4.188265913935618e-05,0.9999581173408607
1248,5221,10788461,4.188265913935618e-05,0.9999581173408607
452,2291,8758204,4.188265913935618e-05,0.9999581173408607
1244,5201,10281221,4.188265913935618e-05,0.9999581173408607
455,2312,7749773,4.188265913935618e-05,0.9999581173408607
443,2269,11622985,4.188265913935618e-05,0.9999581173408607
1241,5179,5966810,4.188265913935618e-05,0.9999581173408607
458,2317,9815053,4.188265913935618e-05,0.9999581173408607
1239,5177,3128552,4.188265913935618e-05,0.9999581173408607
1237,5164,9025971,4.188265913935618e-05,0.9999581173408607
464,2336,5787131,4.188265913935618e-05,0.9999581173408607
1234,5129,4820550,4.188265913935618e-05,0.9999581173408607
466,2353,4547603,4.188265913935618e-05,0.9999581173408607
467,2356,5716763,4.188265913935618e-05,0.9999581173408607
444,2270,11361283,4.188265913935618e-05,0.9999581173408607
441,2259,10336951,4.188265913935618e-05,0.9999581173408607
413,2166,9205907,4.188265913935618e-05,0.9999581173408607
853,4023,5785279,4.188265913935618e-05,0.9999581173408607
1267,5397,4147444,4.188265913935618e-05,0.9999581173408607
1263,5377,3440118,4.188265913935618e-05,0.9999581173408607
418,2186,4172746,4.188265913935618e-05,0.9999581173408607
419,2187,5174858,4.188265913935618e-05,0.9999581173408607
420,2192,5095635,4.188265913935618e-05,0.9999581173408607
1260,5311,4164922,4.188265913935618e-05,0.9999581173408607
1259,5310,12061969,4.188265913935618e-05,0.9999581173408607
1258,5309,4164922,4.188265913935618e-05,0.9999581173408607
427,2211,2305866,4.188265913935618e-05,0.9999581173408607
440,2257,7984574,4.188265913935618e-05,0.9999581173408607
428,2212,11187837,4.188265913935618e-05,0.9999581173408607
430,2230,6183511,4.188265913935618e-05,0.9999581173408607
431,2231,12469800,4.188265913935618e-05,0.9999581173408607
432,2235,11465950,4.188265913935618e-05,0.9999581173408607
1257,5306,7813039,4.188265913935618e-05,0.9999581173408607
434,2242,11818607,4.188265913935618e-05,0.9999581173408607
435,2243,6149910,4.188265913935618e-05,0.9999581173408607
436,2245,5436013,4.188265913935618e-05,0.9999581173408607
570,2750,8197793,4.188265913935618e-05,0.9999581173408607
1162,4875,2717158,4.188265913935618e-05,0.9999581173408607
1304,5703,9009953,4.188265913935618e-05,0.9999581173408607
707,3406,5786676,4.188265913935618e-05,0.9999581173408607
742,3636,11967788,4.188265913935618e-05,0.9999581173408607
743,3644,7199060,4.188265913935618e-05,0.9999581173408607
744,3645,8439323,4.188265913935618e-05,0.9999581173408607
