,cumOOI_index,kepid,prob0,prob1
134,1056,9636135,0.01201858552504954,0.9879814144749506
1180,4944,8905246,0.012043291113723462,0.9879567088862767
848,4008,7749002,0.012102980451537413,0.9878970195484628
637,2990,10395543,0.012263455582994028,0.987736544417006
22,230,8018547,0.012263455582994028,0.987736544417006
1851,7139,9839821,0.012272962615097058,0.9877270373849028
428,2212,11187837,0.012327470849757953,0.9876725291502423
524,2578,11071200,0.012336026788616443,0.9876639732113833
361,1979,6198182,0.012353244878746195,0.9876467551212537
639,2999,10717241,0.012361602559568934,0.9876383974404311
326,1881,2853780,0.012394393155956567,0.9876056068440433
2170,8507,11182260,0.012458547373247295,0.9875414526267526
1096,4642,7285757,0.012631569826569534,0.9873684301734303
743,3644,7199060,0.012677181873815037,0.987322818126185
289,1760,5385304,0.012677181873815037,0.987322818126185
1035,4481,5563300,0.012760288261315257,0.9872397117386847
1138,4763,4645174,0.013138451889167003,0.9868615481108329
1784,6927,8822421,0.01319676921570177,0.9868032307842982
245,1565,9883311,0.013274214168693501,0.9867257858313068
365,1994,4670217,0.013304260033476593,0.9866957399665239
165,1195,7768451,0.013371147642384834,0.9866288523576153
523,2577,11071200,0.013387683693286127,0.9866123163067136
616,2910,3328080,0.013641503282201975,0.9863584967177981
1237,5164,9025971,0.013686231125456305,0.9863137688745438
1153,4825,8644365,0.013837657367766494,0.9861623426322338
1254,5295,8257205,0.013839968474300945,0.9861600315256989
368,1998,11391755,0.01411141623836891,0.985888583761631
988,4349,7272132,0.014238411042723262,0.9857615889572771
1147,4801,6779726,0.014533322625727976,0.9854666773742724
1203,5004,11810124,0.014634129085718466,0.9853658709142816
1188,4968,2975770,0.014636096382091122,0.9853639036179084
430,2230,6183511,0.014643861736510498,0.9853561382634894
1412,6130,7009548,0.01471648032534371,0.9852835196746562
1,37,11138155,0.014940870519563993,0.9850591294804358
249,1589,10656508,0.01497458377961155,0.9850254162203886
1760,6892,11407847,0.015034723736388296,0.9849652762636122
1170,4913,6200810,0.015034723736388296,0.9849652762636122
622,2933,6677841,0.015347442878810236,0.98465255712119
533,2618,10749059,0.015452347592491556,0.9845476524075089
28,315,2860866,0.015500839090223595,0.984499160909777
677,3281,6289650,0.015533780770976778,0.9844662192290236
100,824,8631160,0.015568351595248402,0.9844316484047517
796,3852,4172805,0.015606449526270454,0.9843935504737299
1146,4800,6705026,0.015754297203408627,0.9842457027965915
1887,7250,6436029,0.016032350211654337,0.9839676497883455
1034,4477,9569711,0.01624108720019906,0.983758912799801
899,4158,9002538,0.01639418858049012,0.9836058114195099
685,3317,10221013,0.016490832698665255,0.9835091673013348
800,3864,7661893,0.0165185305763425,0.9834814694236574
787,3811,9836563,0.016603576025318905,0.9833964239746813
1476,6334,9304976,0.017260676633285094,0.9827393233667151
1769,6902,9285265,0.01742350076214173,0.9825764992378582
1002,4409,8636600,0.017522405101051096,0.9824775948989489
742,3636,11967788,0.017602932286931404,0.9823970677130685
140,1085,6543893,0.018161374340172353,0.9818386256598276
1257,5306,7813039,0.01828940490227718,0.9817105950977227
352,1953,11030475,0.01848065665840095,0.9815193433415988
427,2211,2305866,0.01883362360852351,0.9811663763914764
1219,5056,9117416,0.019266863570495313,0.9807331364295045
2185,8547,5385410,0.019698182829181385,0.9803018171708183
953,4279,6527078,0.01973409426162656,0.9802659057383734
70,618,3329204,0.020201911845678665,0.9797980881543212
513,2537,10265602,0.020766490559689033,0.979233509440311
789,3821,11081504,0.020798384326939014,0.979201615673061
486,2432,5905822,0.02087279431260015,0.9791272056873997
531,2599,7877978,0.0209184309676118,0.9790815690323881
2210,8648,8873450,0.021236413033678535,0.9787635869663214
689,3331,7906882,0.021536762817483988,0.9784632371825159
189,1283,5475431,0.024509398444334033,0.9754906015556658
1862,7176,7825899,0.02483418308136949,0.9751658169186304
2409,9504,4770617,0.025033780150211446,0.9749662198497887
378,2031,8247770,0.025091999489609405,0.9749080005103905
793,3840,4548011,0.025841392310765366,0.9741586076892347
425,2206,9635606,0.02620599843233495,0.973794001567665
598,2846,5040077,0.026214851863266712,0.9737851481367333
417,2179,8631751,0.02635541545734091,0.973644584542659
569,2746,5551672,0.026823257852434647,0.9731767421475653
1259,5310,12061969,0.026894427790446214,0.9731055722095537
509,2517,7826659,0.026898271021263166,0.973101728978737
79,668,11030711,0.026898271021263166,0.973101728978737
759,3695,8264402,0.026898271021263166,0.973101728978737
1304,5703,9009953,0.026967294662772576,0.9730327053372275
526,2582,6432345,0.026967294662772576,0.9730327053372275
1731,6849,11026582,0.026967294662772576,0.9730327053372275
2126,8317,8096395,0.02778975843088853,0.9722102415691114
2188,8553,9166700,0.02778975843088853,0.9722102415691114
618,2915,12256520,0.028272327053035423,0.9717276729469647
1688,6797,11716643,0.02844486819274046,0.9715551318072596
271,1679,6119141,0.028834403246814272,0.9711655967531856
2151,8415,6423922,0.02911694602627836,0.9708830539737217
313,1832,9334893,0.029335269977890936,0.9706647300221085
1234,5129,4820550,0.02939827102126317,0.970601728978737
170,1213,9512981,0.02968071779152984,0.9703192822084701
186,1269,5972334,0.029718916191802905,0.9702810838081972
1239,5177,3128552,0.02972528596159291,0.9702747140384069
816,3924,3558849,0.029788631615732628,0.9702113683842675
781,3795,11968463,0.0299674180585553,0.9700325819414446
1511,6417,8644545,0.030208727871601136,0.9697912721283989
687,3327,7630229,0.03028975843088853,0.9697102415691115
126,987,6946199,0.030366037120768068,0.9696339628792316
13,165,6867155,0.03043272743068285,0.9695672725693172
955,4283,5962262,0.030548788938010954,0.9694512110619888
125,986,6946199,0.0310299017216297,0.9689700982783702
826,3946,7103919,0.03151804027490935,0.9684819597250903
1193,4982,6025124,0.032549829833280974,0.967450170166719
1387,6058,4566848,0.03268834457438015,0.9673116554256198
94,765,6766634,0.032765855720976456,0.9672341442790235
728,3576,7256914,0.03292213259347309,0.9670778674065268
682,3304,6879865,0.0329578263241323,0.9670421736758675
76,661,7102227,0.03315731648353024,0.9668426835164696
1807,6989,11081504,0.03327787540170793,0.9667221245982921
499,2479,9958387,0.03337196338143194,0.966628036618568
82,689,11075279,0.03362082727644018,0.9663791727235599
1080,4598,11853130,0.033626715553446325,0.9663732844465536
2152,8419,10586619,0.033642106521128444,0.9663578934788717
405,2142,6516185,0.03399588904169435,0.9660041109583056
1732,6850,11036168,0.034213281126760975,0.9657867188732392
1331,5899,5374838,0.034325383701809487,0.9656746162981905
1241,5179,5966810,0.03436081688264981,0.9656391831173504
447,2278,6364215,0.03450635007270135,0.9654936499272986
1308,5756,9425139,0.035049398705011614,0.9649506012949884
1904,7286,2019477,0.03535553322999057,0.9646444667700096
1246,5210,7017372,0.03551390132906244,0.9644860986709375
161,1183,4918309,0.036026332133504674,0.9639736678664954
554,2697,2446113,0.03608033423806547,0.9639196657619348
1265,5386,6508221,0.03674615607264917,0.9632538439273507
894,4140,9413156,0.0372271831753454,0.9627728168246545
1519,6430,10552151,0.03810570453306722,0.9618942954669327
752,3664,7449554,0.0386626394885996,0.9613373605114002
1837,7083,5629353,0.03910941733516749,0.9608905826648325
